,ID,Fullname,Park Code,URL,State,Lat & long,Types of Activities
237,F339067B-A588-4BF3-9D90-1C1BA1249203,John Muir National Historic Site,jomu,https://www.nps.gov/jomu/index.htm,CA,"lat:37.9828422, long:-122.1326097",7
238,A8C04CA4-FEFF-4FDD-99C4-5BA801AA2DB5,Johnstown Flood National Memorial,jofl,https://www.nps.gov/jofl/index.htm,PA,"lat:40.34584534, long:-78.77448601",11
239,F5CD58FB-05DC-4074-99DA-F327A537F1BC,Joshua Tree National Park,jotr,https://www.nps.gov/jotr/index.htm,CA,"lat:33.91418525, long:-115.8398125",27
240,062F89B7-8DB4-4ACD-88D1-573669E63091,Juan Bautista de Anza National Historic Trail,juba,https://www.nps.gov/juba/index.htm,"AZ,CA","lat:33.8743390994, long:-117.224179857",11
241,3C869976-DF2E-4D99-9918-366DFE637846,Kalaupapa National Historical Park,kala,https://www.nps.gov/kala/index.htm,HI,"lat:21.1731108, long:-156.9511609",3
242,C8B7FCAD-0176-4ABC-8774-90A264E646F1,Kaloko-Honokōhau National Historical Park,kaho,https://www.nps.gov/kaho/index.htm,HI,"lat:19.68083237, long:-156.0306932",14
243,406F7D87-F34F-41C9-9CCE-9FD53ABBA9A7,Katahdin Woods and Waters National Monument,kaww,https://www.nps.gov/kaww/index.htm,ME,"lat:45.9567565918, long:-68.7122879028",14
244,B712CB0C-B3DD-48A6-AA4F-CCD72C87F48B,Katmai National Park & Preserve,katm,https://www.nps.gov/katm/index.htm,AK,"lat:58.62235668, long:-155.0126574",23
245,11E73438-0CCC-4441-A76A-1995F67F2D89,Kenai Fjords National Park,kefj,https://www.nps.gov/kefj/index.htm,AK,"lat:59.81804414, long:-150.106502",38
246,A1901BAE-94DB-44E4-96D4-1E07422EDF6E,Kenilworth Park & Aquatic Gardens,keaq,https://www.nps.gov/keaq/index.htm,DC,"lat:38.9128, long:-76.9434",13
247,AA1E3B48-8B98-4F47-A642-C266A92AB523,Kennesaw Mountain National Battlefield Park,kemo,https://www.nps.gov/kemo/index.htm,GA,"lat:33.95370717, long:-84.59214186",8
248,E25D6277-11D8-425F-8498-718C98B13854,Keweenaw National Historical Park,kewe,https://www.nps.gov/kewe/index.htm,MI,"lat:47.1792308, long:-88.52275344",15
249,C7C40543-5879-48FC-8E55-C26F3E0B4CCD,Kings Mountain National Military Park,kimo,https://www.nps.gov/kimo/index.htm,SC,"lat:35.13900723, long:-81.38978712",5
250,0529BC85-CD42-4DA9-AC60-CAD7C40C3525,Klondike Gold Rush - Seattle Unit National Historical Park,klse,https://www.nps.gov/klse/index.htm,WA,"lat:47.5993663, long:-122.3319664",5
251,5D4AA834-B601-44A8-B786-FF3306BA8A39,Klondike Gold Rush National Historical Park,klgo,https://www.nps.gov/klgo/index.htm,AK,"lat:59.61042373, long:-135.2618535",24
252,0103833B-8114-4483-9754-11B5171BCB20,Knife River Indian Villages National Historic Site,knri,https://www.nps.gov/knri/index.htm,ND,"lat:47.3540219, long:-101.3860533",23
253,691831BF-F280-4E02-BF4A-FF476BC66B23,Kobuk Valley National Park,kova,https://www.nps.gov/kova/index.htm,AK,"lat:67.35631336, long:-159.2002293",19
254,0DEA542F-01B7-4631-8AAD-124161D7B7E6,Korean War Veterans Memorial,kowa,https://www.nps.gov/kowa/index.htm,DC,"lat:38.88784226, long:-77.04773857",3
255,D50B95B0-11C7-4F0A-8B3A-9BAC66E8F1A7,LBJ Memorial Grove on the Potomac,lyba,https://www.nps.gov/lyba/index.htm,DC,"lat:38.87858036, long:-77.05145832",9
256,5F76F85B-23F4-4616-AA0B-A26E8DE76593,Lake Clark National Park & Preserve,lacl,https://www.nps.gov/lacl/index.htm,AK,"lat:60.57405857, long:-153.55535",39
257,7B43EA5B-298C-4BAB-B22D-860B852B40A5,Lake Mead National Recreation Area,lake,https://www.nps.gov/lake/index.htm,"AZ,NV","lat:35.96622528, long:-114.3469067",48
258,AC3B46AA-B4C2-4555-A82A-D4CF790DF81D,Lake Meredith National Recreation Area,lamr,https://www.nps.gov/lamr/index.htm,TX,"lat:35.61926203, long:-101.6820066",20
259,B548FF88-8155-4E56-8E77-FB140D06E1EC,Lake Roosevelt National Recreation Area,laro,https://www.nps.gov/laro/index.htm,WA,"lat:48.17148735, long:-118.3513713",28
260,9AA4A53C-0331-43CC-99F5-379BC929FFB2,Lassen Volcanic National Park,lavo,https://www.nps.gov/lavo/index.htm,CA,"lat:40.49354575, long:-121.4075993",47
261,10AEFADA-AFA0-4998-A9E5-3F504F351AAB,Lava Beds National Monument,labe,https://www.nps.gov/labe/index.htm,CA,"lat:41.75915823, long:-121.5172189",28
262,5D443C5F-19A0-4A06-9CE4-30534A3DD81A,Lewis & Clark National Historic Trail,lecl,https://www.nps.gov/lecl/index.htm,"IA,ID,IL,IN,KS,KY,MO,MT,NE,ND,OH,OR,PA,SD,WA,WV","lat:41.2646141052, long:-95.9245147705",14
263,2666104A-6685-4F93-9412-8091007BEF6C,Lewis and Clark National Historical Park,lewi,https://www.nps.gov/lewi/index.htm,"OR,WA","lat:46.21178735, long:-123.9638583",21
264,E9A0608F-46D6-4072-939F-C81E27AAB236,Lincoln Boyhood National Memorial,libo,https://www.nps.gov/libo/index.htm,IN,"lat:38.11817004, long:-86.99656861",14
265,FF52F034-53E3-4F36-AA31-4BEBCC5F007A,Lincoln Home National Historic Site,liho,https://www.nps.gov/liho/index.htm,IL,"lat:39.79715642, long:-89.64513397",18
266,1EAEF5FA-8CD4-40D7-8B09-07F20E3E5AA5,Lincoln Memorial,linc,https://www.nps.gov/linc/index.htm,DC,"lat:38.88927229, long:-77.05017778",6
267,415AA3E1-CE8A-4A24-BD69-451C87107AA4,Little Bighorn Battlefield National Monument,libi,https://www.nps.gov/libi/index.htm,MT,"lat:45.55633048, long:-107.4183614",9
268,C03CF86E-BFB5-470E-AFF3-C1798A61FFE5,Little River Canyon National Preserve,liri,https://www.nps.gov/liri/index.htm,AL,"lat:34.41461863, long:-85.61734327",29
269,5C51E54A-BCDA-4186-96C3-1B896C3CDFCB,Little Rock Central High School National Historic Site,chsc,https://www.nps.gov/chsc/index.htm,AR,"lat:34.7369465, long:-92.29987899",11
270,CE9470A1-A8D7-49DE-A555-1A32FBBAB0FF,Longfellow House Washington's Headquarters National Historic Site,long,https://www.nps.gov/long/index.htm,MA,"lat:42.37698854, long:-71.12636956",7
271,FA6450A4-D2F1-4B35-9817-EA01918597A6,Lowell National Historical Park,lowe,https://www.nps.gov/lowe/index.htm,MA,"lat:42.6455371, long:-71.31588673",17
272,64FF65B7-0847-4495-9464-667CAFBF4D16,Lower Delaware National Wild and Scenic River,lode,https://www.nps.gov/lode/index.htm,"PA,NJ","lat:40.4000389, long:-74.983737",10
273,3725FD28-4693-481E-888C-855484E73800,Lower East Side Tenement Museum National Historic Site,loea,https://www.nps.gov/loea/index.htm,NY,"lat:40.7187683, long:-73.99001245",8
274,ECDFABE2-6448-46EA-886E-FE79ACBBF16E,Lyndon B Johnson National Historical Park,lyjo,https://www.nps.gov/lyjo/index.htm,TX,"lat:30.2519655, long:-98.60692433",7
275,70090004-4DA3-4E20-8F70-9DE064C2AA69,Maggie L Walker National Historic Site,mawa,https://www.nps.gov/mawa/index.htm,VA,"lat:37.54781499, long:-77.43746979",4
276,A609887A-BB48-47AA-A6F6-4C7F77346FC6,Maine Acadian Culture,maac,https://www.nps.gov/maac/index.htm,ME,"lat:47.25102114, long:-68.59447532",4
277,6A1737A1-6848-4087-AAF7-68A427247357,Mammoth Cave National Park,maca,https://www.nps.gov/maca/index.htm,KY,"lat:37.19760458, long:-86.13090198",35
278,75E4B06E-24C5-4F04-AAB3-F41CF0F55B7A,Manassas National Battlefield Park,mana,https://www.nps.gov/mana/index.htm,VA,"lat:38.81710063, long:-77.5353468",9
279,E777590D-C086-4A88-B5A2-AAE47DBD6A6F,Manhattan Project National Historical Park,mapr,https://www.nps.gov/mapr/index.htm,"NM,WA,TN","lat:35.88096, long:-106.30214",3
280,249AF67F-BB6C-4D0A-B632-07BEE855D24B,Manzanar National Historic Site,manz,https://www.nps.gov/manz/index.htm,CA,"lat:36.72559195, long:-118.1547177",15
281,AB289D4C-AC48-4C83-8643-45E1FCAAAEB1,Marsh - Billings - Rockefeller National Historical Park,mabi,https://www.nps.gov/mabi/index.htm,VT,"lat:43.63348732, long:-72.53424638",30
282,855C9CDC-89B3-4143-9496-D9E6AE292CA1,"Martin Luther King, Jr. Memorial",mlkm,https://www.nps.gov/mlkm/index.htm,DC,"lat:38.8862276865, long:-77.0442195534",6
283,59636FCE-DE81-4D98-890C-585BD48F9AD0,"Martin Luther King, Jr. National Historical Park",malu,https://www.nps.gov/malu/index.htm,GA,"lat:33.75618241, long:-84.37256768",6
284,C1713EAF-0437-4CE1-8CFB-04147E1318F3,Martin Van Buren National Historic Site,mava,https://www.nps.gov/mava/index.htm,NY,"lat:42.36819596, long:-73.70834257",13
285,1D530576-5363-4264-9A26-1C0809DB0B6A,Mary McLeod Bethune Council House National Historic Site,mamc,https://www.nps.gov/mamc/index.htm,DC,"lat:38.90819107, long:-77.03096742",7
286,01DE3F7C-354D-4468-AC36-2CF5274AB68E,Medgar and Myrlie Evers Home National Monument,memy,https://www.nps.gov/memy/index.htm,MS,"lat:32.34096274, long:-90.21264553",0
287,BE3A981E-BB55-474D-8A0E-D711408682DC,Mesa Verde National Park,meve,https://www.nps.gov/meve/index.htm,CO,"lat:37.23908345, long:-108.4624032",22
288,0260D050-761A-4446-AB05-641986F9FDFB,Mill Springs Battlefield National Monument,misp,https://www.nps.gov/misp/index.htm,KY,"lat:37.0688158602, long:-84.7375361304",3
289,FE52067B-EBB9-4FD2-B613-FE778985BAD9,Minidoka National Historic Site,miin,https://www.nps.gov/miin/index.htm,"ID,WA","lat:42.80586068, long:-114.4449868",4
290,3AB31FA9-E174-4A03-952D-397944D3A3C8,Minute Man National Historical Park,mima,https://www.nps.gov/mima/index.htm,MA,"lat:42.4562778, long:-71.30738884",8
291,5DE19B04-85AD-4C3A-93BF-A0D484B1AD91,Minuteman Missile National Historic Site,mimi,https://www.nps.gov/mimi/index.htm,SD,"lat:43.89558013, long:-102.0272131",6
292,913100E9-987E-4659-8124-DFCEE3158FCB,Mississippi National River and Recreation Area,miss,https://www.nps.gov/miss/index.htm,MN,"lat:44.942487, long:-93.098712",26
293,D43C7439-5C0B-4F4F-9D5B-65080F13AD28,Missouri National Recreational River,mnrr,https://www.nps.gov/mnrr/index.htm,"SD,NE","lat:42.7882189, long:-97.59077822",44
294,D509DC08-53AD-4661-A2EA-FC69BE456E50,Mojave National Preserve,moja,https://www.nps.gov/moja/index.htm,CA,"lat:35.12485941, long:-115.5168258",32
